max payment,currency,link,name,url,min payment
,,https://hh.ru/vacancy/42399463?query=PYTHON,Back-end Developer(C++ и Python).,https://hh.ru/,
,USD,https://hh.ru/vacancy/42581836?query=PYTHON,"Senior Software Engineer (Python) at AI startup, remote",https://hh.ru/,3000
,,https://hh.ru/vacancy/42342730?query=PYTHON,Разработчик Python Senior,https://hh.ru/,
,,https://hh.ru/vacancy/41830061?query=PYTHON,Data Scientist/ Аналитик больших данных,https://hh.ru/,
,руб.,https://hh.ru/vacancy/42419756?query=PYTHON,"Инженер-программист Python (Back-End, API)",https://hh.ru/,130000
,руб.,https://hh.ru/vacancy/42894144?query=PYTHON,Инженер сетевой инфраструктуры/Разработчик Python,https://hh.ru/,80000
,,https://hh.ru/vacancy/42768842?query=PYTHON,"Backend-разработчик (Python, Ruby)",https://hh.ru/,
,,https://hh.ru/vacancy/42968833?query=PYTHON,Python Developer,https://hh.ru/,
,,https://hh.ru/vacancy/42987255?query=PYTHON,Data analyst/ Аналитик данных в трайб «Массовая персонализация»,https://hh.ru/,
300000,руб.,https://hh.ru/vacancy/42932721?query=PYTHON,Senior C++ developer,https://hh.ru/,200000
,,https://hh.ru/vacancy/41446784?query=PYTHON,Аналитик Data Science,https://hh.ru/,
270000,руб.,https://hh.ru/vacancy/41462312?query=PYTHON,Ведущий Python разработчик,https://hh.ru/,
,,https://hh.ru/vacancy/35871016?query=PYTHON,Разработчик Python,https://hh.ru/,
200000,руб.,https://hh.ru/vacancy/42817090?query=PYTHON,Разработчик С (Linux),https://hh.ru/,150000
,руб.,https://hh.ru/vacancy/41961714?query=PYTHON,Senior Python Engineer (Remote),https://hh.ru/,200000
200000,руб.,https://hh.ru/vacancy/42934122?query=PYTHON,Middle/Senior Python developer,https://hh.ru/,120000
,,https://hh.ru/vacancy/42432712?query=PYTHON,Разработчик-исследователь (Computer Vision / Deep Learning / Image Processing),https://hh.ru/,
,,https://hh.ru/vacancy/42967186?query=PYTHON,Data Scientist,https://hh.ru/,
140000,руб.,https://hh.ru/vacancy/42853979?query=PYTHON,FullStack Python Developer,https://hh.ru/,100000
,,https://hh.ru/vacancy/42954874?query=PYTHON,Разработчик Python,https://hh.ru/,
160000,руб.,https://hh.ru/vacancy/42935481?query=PYTHON,Python разработчик,https://hh.ru/,
250000,руб.,https://hh.ru/vacancy/42336780?query=PYTHON,Computer vision engineer,https://hh.ru/,150000
,,https://hh.ru/vacancy/42944518?query=PYTHON,Data Scientist,https://hh.ru/,
250000,руб.,https://hh.ru/vacancy/42967899?query=PYTHON,Старший Python + Go разработчик,https://hh.ru/,
130000,руб.,https://hh.ru/vacancy/39789017?query=PYTHON,Junior / Middle Тестировщик ПО (Python),https://hh.ru/,90000
,,https://hh.ru/vacancy/42988830?query=PYTHON,Разработчик Python Middle,https://hh.ru/,
230000,руб.,https://hh.ru/vacancy/42650470?query=PYTHON,ML - разработчик / Data Scientist,https://hh.ru/,
300000,руб.,https://hh.ru/vacancy/42916478?query=PYTHON,Senior Software Engineer (Python),https://hh.ru/,250000
200000,руб.,https://hh.ru/vacancy/42028953?query=PYTHON,Data Engineer,https://hh.ru/,150000
,,https://hh.ru/vacancy/42629247?query=PYTHON,Data Engineer (Удаленно),https://hh.ru/,
250000,руб.,https://hh.ru/vacancy/42749318?query=PYTHON,Backend Developer /QA developer,https://hh.ru/,
60000,руб.,https://hh.ru/vacancy/42949959?query=PYTHON,Django разработчик,https://hh.ru/,
3000,USD,https://hh.ru/vacancy/42631058?query=PYTHON,"Web-разработчик (React, Python)",https://hh.ru/,800
,,https://hh.ru/vacancy/42437527?query=PYTHON,Python разработчик (middle\senior),https://hh.ru/,
,,https://hh.ru/vacancy/42815948?query=PYTHON,Data Scientist (computer vision),https://hh.ru/,
,,https://hh.ru/vacancy/42320995?query=PYTHON,Data scientist (инфраструктурное направление),https://hh.ru/,
,руб.,https://hh.ru/vacancy/42588093?query=PYTHON,Backend разработчик (Python),https://hh.ru/,160000
,,https://hh.ru/vacancy/42815421?query=PYTHON,ML engineer,https://hh.ru/,
8000,USD,https://hh.ru/vacancy/42878760?query=PYTHON,Python Developer / ML Engineer,https://hh.ru/,5000
,,https://hh.ru/vacancy/42829377?query=PYTHON,Python разработчик,https://hh.ru/,
,руб.,https://hh.ru/vacancy/42807614?query=PYTHON,C++ разработчик (Senior / Middle),https://hh.ru/,170000
,,https://hh.ru/vacancy/37583293?query=PYTHON,Python developer,https://hh.ru/,
,,https://hh.ru/vacancy/43001901?query=PYTHON,QA Automation Engineer (Python),https://hh.ru/,
,,https://hh.ru/vacancy/42007582?query=PYTHON,Python-разработчик,https://hh.ru/,
50000,руб.,https://hh.ru/vacancy/42884573?query=PYTHON,Программист Python,https://hh.ru/,30000
,,https://hh.ru/vacancy/41846697?query=PYTHON,Data engineer (Big Data),https://hh.ru/,
,,https://hh.ru/vacancy/43003708?query=PYTHON,Аналитик/Data Scientist (в отдел аудита),https://hh.ru/,
2800,USD,https://hh.ru/vacancy/42829345?query=PYTHON,Middle backend developer (python/django),https://hh.ru/,1300
,,https://hh.ru/vacancy/40339511?query=PYTHON,Data Engineer (аналитик больших данных),https://hh.ru/,
,,https://hh.ru/vacancy/42965791?query=PYTHON,"Проверяющий преподаватель на курс ""Python-фреймворк Django""",https://hh.ru/,
,руб.,https://hh.ru/vacancy/40561414?query=PYTHON,Quantitative Researcher,https://hh.ru/,350000
,руб.,https://hh.ru/vacancy/42935132?query=PYTHON,Разработчик ‎C++,https://hh.ru/,120000
,руб.,https://hh.ru/vacancy/42365588?query=PYTHON,Data Engineer,https://hh.ru/,120000
,,https://hh.ru/vacancy/42916116?query=PYTHON,Junior Data Scientist (SberDevices),https://hh.ru/,
,,https://hh.ru/vacancy/42995858?query=PYTHON,Python Developer (Remote),https://hh.ru/,
,,https://hh.ru/vacancy/41941114?query=PYTHON,Data Scientist,https://hh.ru/,
240000,руб.,https://hh.ru/vacancy/42522130?query=PYTHON,Python QA Automation,https://hh.ru/,120000
,,https://hh.ru/vacancy/42968710?query=PYTHON,Data Analyst,https://hh.ru/,
300000,руб.,https://hh.ru/vacancy/42995484?query=PYTHON,Старший quant-исследователь / Senior Quantitative Researcher,https://hh.ru/,150000
,,https://hh.ru/vacancy/42964716?query=PYTHON,Python developer (Виртуальный ассистент),https://hh.ru/,
,руб.,https://hh.ru/vacancy/42971187?query=PYTHON,Senior Python программист,https://hh.ru/,160000
,руб.,https://hh.ru/vacancy/41407110?query=PYTHON,Senior Backend Python/Django разработчик (удалённо),https://hh.ru/,200000
,руб.,https://hh.ru/vacancy/42358623?query=PYTHON,Backend developer / Backend разработчик,https://hh.ru/,170000
,,https://hh.ru/vacancy/42622845?query=PYTHON,Data scientist/Бизнес-аналитик (Junior/Middle) в консалтинг,https://hh.ru/,
,,https://hh.ru/vacancy/42348893?query=PYTHON,Разработчик С++,https://hh.ru/,
,,https://hh.ru/vacancy/42829393?query=PYTHON,Machine Learning Engineer,https://hh.ru/,
